id,description
11771,Football Sports Activity Products
11772,Gift Vouchers Up to Rs. 3000 On Registration
11773,Up to  10% Discount On Digital Cameras
11774,Up to  25% Discount On Books
11775,Hiking Adventure Activity Products Starting 199/-
11776,Up to  50% Discount On Cricket Goods
11777,Mumbai Indian IPL T-Shirt for Just 499/-
11778,Upto 65% + Upto 100% Cashback
11779,Up to  60% Discount On Outdoor Activities
11780,Up to  33% Discount On Branded Sports Products
11781,Up to  80% Discount On Women's Apparels
11782,15% Cash-Back On Nikon Products And Accessories
11783,20% Discount On Brooches & Collar Pins
11784,Stylish Dresses Starting At 745/-
11785,Up to  50% Discount On Accessories
11786,Multi-Brand Watches Starting At 299/-
11787,30% Discount On Cushion Covers
11788,Upto 70% discount
11789,40% Discount On Sweaters
11790,Upto 45% discount
11791,Rajasthani Handmade Bags
11792,Wall Stickers Starting At Rs.699
11793,Up to  40% Discount On London Paris New York Apparels & Accessories
11794,Handmade Juttis
11795,Winter Essentials-Suits Starting At 1799/-
11796,Stoles Starting At 149/-
11797,Ethnic Top And Tunics Starting At 699/-
11798,Men s Round Neck Collection Starting At 430/-
11799,Colourful Love Couple Pillow Cover for Just 714/-
11800,Up to 50% Discount On T-Shirts
11801,Register & Get Free Gift Voucher Worth Rs. 2000
11802,2 Pcs Combo Pack T-Shirts for Just Rs. 447/-
11803,3 Pcs Combo Pack Men T-Shirts for 609/-
11804,3 Pcs Combo Pack Women T-Shirts 561/-
11805,2 Pcs Combo Pack Women T-Shirts for 429/-
11806,"Up to  50% Discount On Sarees, Jewellery And More"
11807,13% discount
11808,20% discount Valid on Ethnic Wear
11809,Get Upto &#8377;50 Discount
11810,Up To &#8377;50 OFF
11811,10% Discount On Bus Tickets (HDFC)
11812,Up to 10% Discount On Bus Tickets (ING Vysya)
11813,Up to  25% Discount On Engineering Books
11814,Up to  20% Discount On International Exam Preparation Books
11815,5% Discount On LS2 Bike Helmets
11816,Up to  Rs.1150 Discount On Bike Helmets
11817,"40% Discount - Valid on Express Delivery Of Salwar  Suits,Sarees, Lehengas"
11818,Up to  40% Discount On Designer Sarees
11819,Aquamagica Tickets
11820,Imagica Tickets for Rs. 999 On Happy Tuesdays
11821,Save  Rs.500 With A Free A/C Bus To Imagica & Back
11822,5% of On All Products
11823,Recharge Combo Voucher Rs.149
11824,Get Roaming & Local 10p Per Minute
11825,Get Full Talktime Free
11826,Best Offers - Valid on Flight Booking At AirIndia
11827,Free Additional Baggage for Students
11828,Upgrade To Business Class At Affordable Prices
11829,22% Discount On Mythology Collection
11830,5 In 1 Books Starting 250/-
11831,30% Discount On Tinkle-Suppandi 
11832,"Avail Up to 50% Off on Speakers on JBL, Creative, Sony and more."
11833,"40% Off on a wide range of iPods, Speakers and Headphones."
11834,"Get Upto 50% off on Routers by D-Link, Netgear and more."
11835,Get Up To 50% Off on Sports and Fitness equipment.
11836,Avail 25% Off on Personal Care Appliances
11837,Avail 35% Discount on Kitchen Appliances
11838,30% OFF on Diapers - 
11839,Get Flat 50% Discount on Movies at India's largest DVD and Blu-ray store
11840,"Get 30% OFF on Televisions on Samsung, LG, Philips and more"
11841,Amazon Offer on ihave Power Bank
11842,Amazon Offer on JBL Sports range of headphones
11843,Best Price offer  on Kenstar Air Conditioners
11844,"Flat 30% off on Laptops by Lenovo, Asus, Apple and Toshiba."
11845,"Mi Store Offer on REDMI 2, MI 4, and REDMI NOTE 4G"
11846,"Flat 20% Discount on Shavers, Epilators & more"
11847,Flat 25% Off on books by bestselling author Amish Tripathi
11848,"Get Upto 50% Discount on Power-Banks from brands such as Eveready, Sony, Nokia and more."
11849,"Tablets Offer Max. price of Rs.10,000"
11850,"Get Up To 40% discount on iPhone, Lumia, HTC and more"
11851,Flat 20% OFF On Maternity Wear
11852,Flat 25% OFF On Books/ CDs/ School Supplies
11853,Flat 20% OFF On Baby Gear/Nursery
11854,58% discount - Valid on Purchases Of Rs.1599
11855,57% discount - Valid on Purchase Of Rs.1399
11856,55% discount - Valid on Purchase Of Rs.1199
11857,EXCLUSIVE: 58% discount
11858,EXCLUSIVE: 57% discount
11859,Buy 1 And Get 1 Free
11860,EXCLUSIVE: 55% discount
11861,57% discount - Valid on Orders Of Rs.1199+
11862,Extra 40% discount
11863,57% Discount On Apparels
11864,Upto 65% discount
11865,55% discount - Fashion Sale . Valid on Purchase Of Rs.1499
11866,50% discount - Fashion Sale . Valid on Purchase Of Rs.999
11867,60% discount
11868,Upto 50% discount + Extra 30% discount
11869,Up to  70% Discount On Women's Apparels
11870,55% discount - Valid on Purchase Of Rs.1499+
11871,55% discount
11872,&#8377;150 discount
11873,Up to  60% Discount On Anniversary Gifts
11874,20% Discount On All Orders
11875,Greeting Cards Starting Rs. 45/-
11876,EXCLUSIVE: Rs.100 discount
11877,EXCLUSIVE: 10% discount
11878,EXCLUSIVE: 15% discount
11879,EXCLUSIVE: 20% discount
11880,15% discount
11881,10% discount
11883,Register At ArtisanGilt And Get Coupons
11884,Faux Georgette Sarees Starting Rs. 242/-
11885,Up To 50% + Extra 10% discount
11886,Up To 40% + Extra 25% discount
11887,Buy 2 Get 1 Free
11888,20% Discount On Fashion Jewellery
11889,"Dubai Holiday Offer Starting 45,200/-"
11890,Holiday Packages Trip To Ooty
11891,Honeymoon & Romance Trip To Gangtok
11892,Up to  60% Discount On Decorative Items
11893,15% discount Valid on Parker Pens
11894,33% Discount On Schwarzkops Beauty Products
11895,Up to  50% Discount On Salwar Suits
11896,Salwar Suits Combos Starting 899/-
11897,Finest Cotton Bedsheets From Atmosphere
11898,"Duvet Cover Sets Starting Rs. 10,500"
11899,Decorative Pillow
11900,Baby Caps &amp; Mittens
11901,Up to  50% Discount On Select Baby Products
11902,Wide Range of Baby Products
11903,Kids Footwear
11904,Up To 50% discount
11905,Up to  50% Discount On Diapers
