id,description
16071,30% OFF on Min. 6 Products
48273,Get 25% off on Min. 5 Products
48274,Avail 20% OFF on Min. 4 Products
48275,Get Flat 15% OFF on Min. 3 Products
48276,Flat 10% Off on Min. 2 Products
48277,Get 5% OFF on Wedding Apparels
48278,Avail Up To 70% discount on Traditional Sarees
48279,45% Off on VPS Hosting
48280,"Dedicated Servers Starting at Rs.7,699 Per Month only"
22165,"Chance to win a BookMyShow voucher worth INR 500 free on Booking 4 Or More Tickets (Mumbai , Delhi/NCR , Mohali and Bengaluru)"
48282,chance to win a free roundtrip ticket to Colombo on International flights (Travelling Between 11 July 2016 â€“ 31 December 2016)
48283,The Etihad - USA Sale Starting for just Rs.42743
48284,Get Upto 20% off on Singapore Fares
48285,Up to Rs.1200 Cash back on Domestic flights (Only on Thursday)
48286,Get Upto Rs.1200 Cash back on Domestic hotels
48287,Flat Rs.1000 Cash Back on Domestic/ International Roundtrip Flight And Hotel With MasterPass
48288,Everyday Bras at Rs.99 only
48289,Croma Terrific Thursdays - Free Couple Movie Tickets on Payment via ICICI Bank Credit/Debit Cards only (Min. Purchase Of Rs.15000)
48290,Deal OF The Day - Samsung 6.2 KG Washing Machine just for Rs.16990
48291,20% off on spending Rs.400 and above
48292,Great Prices on Speakers and Home Theaters
48293,Keyboards and Mouse Starting for Rs.150
48294,Best prices on 32&quot; Inches LED TV'S
48295,Get 45% Off on Portable Hard drives
48296,Best Asus Zenfones Starting @ Rs.9272.00 only
48297,Up to 60% Discount on Southeast Asia Hotels
48298,Night Wear For Women Rs.850 onwards
48299,Rs.400 Discount on  Premium Clothing (On min. order of Rs.1100)
48300,Mobile Charging Cables Max. price of Rs.299
48301,"Avail 40% OFF on on Fiction, Self-help, Academic And More Books"
48302,Bombay Dyeing & Raymond Bedsheets All products under Rs.699
48303,Front Load Washing Machines Maximum Rs.25000
48304,Get 30% Off on Glucometers
48305,32inch Televisions Starts for Rs.13990
48306,Flat 20% OFF on Kids Rakhi Gifts
48307,Get 15% discount on Rakhi Thali
48308,15% off on Rakhi Gift Hampers
48309,Avail 10% Off on All Rakhi Gifts
48310,Get Flat Rs.666 discount on Economy Class Travel (Travelling Between 26th JUL 2016 till 30th SEP 2016)
48311,Avail Rs.500 cashback on Min. Transaction Of Rs.5000
48312,Moto G Turbo Edition at just Rs.8699
48313,30% OFF on HealthViva Green Cofee Extract
48314,"MuscleBlaze Whey Protein, 4.4 lb Rich Milk Chocolate just Rs.4049"
48315,Buy 1 Get 1 Free + Free Shaker on HealthKart SlimShake
48316,Product Of The Day - Get Upto 25% Off + Additional 5% Off on Weight Gainer
48317,Get Upto 40% discount on Mass Gainer Products
48318,Upto 30% Discount on Whey Protein Protein
48319,Spice Dragon Trail 3G Android for Rs.2999 only
48320,Spice Dragontrail Android Phone - 415 just @ Rs.2499
48321,Complete Casual Shirts & T-Shirts Combo By Henry Hudson just @ Rs.1299
48322,Avail Additional 15% off on Shoe Island Men's Synthetic Leather Formal Shoes - Black
48323,Additional 15% Discount on ABZ Men's Fabric Sports Shoes - Black
48324,Get Additional 15% Discount on ABZ Men's Fabric Sports Shoes - Blue
48325,"Additional 15% Off on Shoe Island Men's Casual, Formal Shoes & Accessories"
48326,Get Extra 15% discount on Shoe Island Men's Synthetic Leather Casual Shoes - Tan
48327,Get Additional 15% OFF on Columbus Men's Mesh Sports Shoes - Set Of 2
48328,Get Extra 15% off on Oleva Women's Satin Nightwear - Set of 8
48329,Avail Extra 15% Off on Surat Tex Women's Semi-Stitched Lehenga Choli
48330,Additional 15% Discount on Fab Fiza Women's Cotton Dress Material - Blue
48331,Get Additional 15% Discount on RadadiyaTRD Women's Semi-Stitched Salwar Suit - Black
48332,Extra 13% Off on X-Cross Men's Cotton Polo T-Shirt - Set Of 4
48333,Additional 15% OFF on Triveni Faux Georgette Saree - Set Of 3
48334,Additional 15% Discount on Shonaya Women's Unstitched Salwar Suit - Black & Orange
48335,Ishin Georgette Saree - Yellow for just Rs.337
48336,George Adam Men's Synthetic Leather Boots - Black for just Rs.399
48337,ABZ Men's Fabric Sports Shoes - Blue at just Rs.331
48338,George Adam Men's Faux Leather Formal Shoes & Casual Shoes Combo just Rs.722
48339,Bachini Men's PU Sports Shoes - Set Of 2 just at Rs.849
48340,Shoe Island Men's Synthetic Leather Boots - Tan at Rs.467 only
48341,ABZ Men's Fabric Sports Shoes - Grey Rs.424 only
48342,"Sofa Cum Beds Starts for Rs. 10,490"
